"","seed","up_fdr","down_fdr","up_complement_OR","up_complement_P","down_synGO_OR","down_synGO_P"
"39","PLEKHJ1",3668,2563,0.146413496578153,0.0245272524313011,1.49062923761123,2.99900205129486e-05
"40","SLC17A7",5757,5474,0.266460575386074,0.0150024342523116,0.861848696121998,0.0644359154685338
"41","RNASEH2A",1338,570,0.910780619453061,1,4.73303425915585,9.7549908050321e-29
"42","KLC3",5,0,0,1,0,1
"43","CD37",2224,2187,8.79017289868708,3.75256828674485e-10,2.65565445484839,1.79652883612167e-27
"44","SF3A2",3694,3334,0.994437029367927,1,1.01024685632535,0.925169538635315
"45","AMH",167,28,0,1,0.871594259641357,1
"46","LYL1",1206,727,12.6542864682095,2.60950847165419e-11,3.39828912741026,1.75093549797133e-19
"47","OAZ1",4145,2779,0.126784774916261,0.0102657933737208,1.28692399494578,0.00818154623652553
"48","TRMT1",3924,2892,0.584995313299263,0.392438765037805,1.76397084260838,1.22189178414737e-10
"49","STX10",3167,2486,0.173700837481327,0.0559791209500634,3.59305413568139,7.09673591504391e-56
"50","DMPK",4056,3985,0.267102965822213,0.0542893264665539,2.44712670761258,1.26896834226348e-33
"51","TBC1D17",4533,4481,0.778903089082491,0.688100762980888,1.12339262668428,0.145824637866432
"52","IL4I1",295,45,35.8543834186105,3.38160078534437e-14,1.0948770206308,0.705999440000252
"53","TLE6",42,9,0,1,2.94366014561071,0.312399871371288
"54","CCDC130",3645,3095,0.637754085045718,0.508716536863228,3.78390889670088,3.64182249284296e-70
"55","PTOV1",4869,4545,0.579146474990134,0.324237800406662,1.10366982505966,0.230361315122069
"56","AES",4212,4333,0.255118403270844,0.0370727200041695,0.926164351482883,0.399363200252987
"57","NOVA2",5205,5253,0.414716993795218,0.120825159859376,0.892477389462202,0.17084315144778
"58","SGTA",4597,3913,0.919612293387188,1,1.38367574533117,7.51969366371423e-05
"59","LILRB1",1563,606,18.961285134906,1.32747595851807e-17,2.07368975364896,1.47502584424878e-05
"60","MED25",4511,4507,0.94070894738929,1,1.30954283333075,0.000658036648103356
"61","LILRA1",1325,637,11.4504842248366,1.0544117774086e-10,1.7790199410336,0.000727040918590619
"62","SNAPC2",4136,3921,0.705278983266629,0.672719177498886,1.15211227997437,0.09538690713669
"63","C19orf53",2091,1252,0.564490000738153,0.578792657987011,1.538236610283,0.000923616611446753
"64","TIMM44",3432,2955,0.324673351808621,0.114046799339188,2.45952607377681,3.29124553185376e-28
"65","CCDC61",2211,1481,0,0.0476832677782893,1.57190699098991,0.000142536095990881
"66","IL27RA",1927,1335,0.617134555893039,0.768216591634958,0.972391876702567,0.943257801693088
"67","ASF1B",175,63,0,1,3.94782542096314,0.000980795533787983
