"","i","R","P","Gene","FDR","syngo","ENSG"
"166",166,-0.109096880102425,0.0698112064458701,"TMEM201",0.129001417973894,FALSE,"ENSG00000188807"
"167",167,-0.116642630975983,0.0568136830549667,"PIK3CD",0.110233859975748,FALSE,"ENSG00000171608"
"168",168,-0.165862175168463,0.0112488269581455,"CLSTN1",0.0308087910529006,TRUE,"ENSG00000171603"
"169",169,-0.235016951942694,0.000437146955447544,"CTNNBIP1",0.00208418169609372,FALSE,"ENSG00000178585"
"170",170,-0.0250964076028654,0.368443479758254,"LZIC",0.416470566547259,FALSE,"ENSG00000162441"
"171",171,0.0296277880639124,0.345779212799365,"NMNAT1",0.400523418125342,FALSE,"ENSG00000173614"
"172",172,-0.0193977946345287,0.397577491788955,"RBP7",0.4361342914696,FALSE,"ENSG00000162444"
"173",173,-0.1662675737938,0.0110759473174249,"UBE4B",0.030410894125057,FALSE,"ENSG00000130939"
"174",174,-0.215564772548548,0.00124477741838518,"KIF1B",0.00504619046634671,FALSE,"ENSG00000054523"
"175",175,0.117045323870347,0.0561758838062353,"RN7SL721P",0.109346248537234,FALSE,"ENSG00000265945"
"176",176,0.131688920632369,0.036488753659263,"PGD",0.0785181160040706,FALSE,"ENSG00000142657"
"177",177,-0.267154070373159,5.93041574348062e-05,"APITD1",0.000388310271685364,FALSE,"ENSG00000175279"
"178",178,-0.193681339937356,0.00354833576320463,"CORT",0.0120587973202657,FALSE,"ENSG00000241563"
"179",179,0.120080528235507,0.051543084064252,"DFFA",0.102451287585744,FALSE,"ENSG00000160049"
"180",180,-0.0509961511963953,0.246968331083206,"PEX14",0.321420247478046,FALSE,"ENSG00000142655"
"181",181,0.288433315122521,1.2816668940082e-05,"CASZ1",0.000107082064923191,FALSE,"ENSG00000130940"
"182",182,-0.0867310979234451,0.121165983096403,"RP4-734G22.3",0.19476515881783,FALSE,"ENSG00000272078"
"183",183,0.00140771913478473,0.49248675102292,"TARDBP",0.495582594315747,FALSE,"ENSG00000120948"
"184",184,-0.0530658254506029,0.238239425084494,"MASP2",0.31431752464531,FALSE,"ENSG00000009724"
"185",185,-0.029803628628054,0.344909806126331,"RP4-635E18.8",0.399976671117486,FALSE,"ENSG00000271895"
"186",186,0.111538552347345,0.0653836165785054,"SRM",0.122747903731098,FALSE,"ENSG00000116649"
"187",187,0.100632027720136,0.0868930294245072,"EXOSC10",0.152640638994328,FALSE,"ENSG00000171824"
"188",188,0.0662185368596658,0.186774419919766,"RP4-635E18.7",0.265512655768295,FALSE,"ENSG00000226849"
"189",189,-0.0408358250513542,0.292100509178136,"RP4-635E18.6",0.358452789688121,FALSE,"ENSG00000230337"
"190",190,-0.179242623393553,0.0066114950449813,"MTOR",0.0199692099396341,TRUE,"ENSG00000198793"
"191",191,-0.0114433398851459,0.439151228881535,"ANGPTL7",0.463422428537048,FALSE,"ENSG00000171819"
