Gene	Set
AGPAT9	C4A-negative-network-PEC_CN2_and_GTEX_CN2
BBS7	C4A-negative-network-PEC_CN2_and_GTEX_CN2
TRPC3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
G3BP2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CDKL2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
KIAA1644	C4A-negative-network-PEC_CN2_and_GTEX_CN2
GABARAPL1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
KIF21A	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PRICKLE1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
VAMP1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
AMIGO2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
GLIPR1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
DUSP6	C4A-negative-network-PEC_CN2_and_GTEX_CN2
MTMR6	C4A-negative-network-PEC_CN2_and_GTEX_CN2
VPS33A	C4A-negative-network-PEC_CN2_and_GTEX_CN2
NOVA1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
FRMD6	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ADAM21	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RDH12	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RAB15	C4A-negative-network-PEC_CN2_and_GTEX_CN2
LYSMD2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CLTC	C4A-negative-network-PEC_CN2_and_GTEX_CN2
TAF4B	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RPRD1A	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RNF157	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PIP4K2B	C4A-negative-network-PEC_CN2_and_GTEX_CN2
HUNK	C4A-negative-network-PEC_CN2_and_GTEX_CN2
KIAA0319L	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PRKACB	C4A-negative-network-PEC_CN2_and_GTEX_CN2
LMO4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ATP1B1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
MPC2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
DCAF6	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ENSA	C4A-negative-network-PEC_CN2_and_GTEX_CN2
KCNH1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SMYD2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SUSD4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
FBXO28	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CNIH3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RALB	C4A-negative-network-PEC_CN2_and_GTEX_CN2
NXPH2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SLC4A10	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ZNF385B	C4A-negative-network-PEC_CN2_and_GTEX_CN2
UNC80	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CPNE9	C4A-negative-network-PEC_CN2_and_GTEX_CN2
EAF1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CNTN4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
DYNC1LI1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
OSBPL10	C4A-negative-network-PEC_CN2_and_GTEX_CN2
IQSEC1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
NICN1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
AC062028.1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
STXBP5L	C4A-negative-network-PEC_CN2_and_GTEX_CN2
OCIAD2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SLC10A4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SNCA	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CISD2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RASA1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PPIP5K2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PAM	C4A-negative-network-PEC_CN2_and_GTEX_CN2
GFOD1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
KLHL3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
TPBG	C4A-negative-network-PEC_CN2_and_GTEX_CN2
FAXC	C4A-negative-network-PEC_CN2_and_GTEX_CN2
VIP	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SHROOM2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SH3KBP1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ATP6V1B2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CCDC25	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SNTG1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
MAL2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
FAM135B	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SHC3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
