gene	set
BDKRB2	Complement + Complement PPI InWeb (545 genes)
BET1	Complement + Complement PPI InWeb (545 genes)
BET1L	Complement + Complement PPI InWeb (545 genes)
C4B_2	Complement + Complement PPI InWeb (545 genes)
CASR	Complement + Complement PPI InWeb (545 genes)
CBLB	Complement + Complement PPI InWeb (545 genes)
CCK	Complement + Complement PPI InWeb (545 genes)
CCKAR	Complement + Complement PPI InWeb (545 genes)
CCKBR	Complement + Complement PPI InWeb (545 genes)
CCL16	Complement + Complement PPI InWeb (545 genes)
CCL19	Complement + Complement PPI InWeb (545 genes)
CCL20	Complement + Complement PPI InWeb (545 genes)
CCL21	Complement + Complement PPI InWeb (545 genes)
CCL23	Complement + Complement PPI InWeb (545 genes)
CCL25	Complement + Complement PPI InWeb (545 genes)
CCL27	Complement + Complement PPI InWeb (545 genes)
CCL28	Complement + Complement PPI InWeb (545 genes)
CCL5	Complement + Complement PPI InWeb (545 genes)
CCR1	Complement + Complement PPI InWeb (545 genes)
CCR10	Complement + Complement PPI InWeb (545 genes)
CCR2	Complement + Complement PPI InWeb (545 genes)
CCR3	Complement + Complement PPI InWeb (545 genes)
CCR4	Complement + Complement PPI InWeb (545 genes)
CCR5	Complement + Complement PPI InWeb (545 genes)
CCR6	Complement + Complement PPI InWeb (545 genes)
CCR7	Complement + Complement PPI InWeb (545 genes)
CCR8	Complement + Complement PPI InWeb (545 genes)
CCR9	Complement + Complement PPI InWeb (545 genes)
CD14	Complement + Complement PPI InWeb (545 genes)
CD19	Complement + Complement PPI InWeb (545 genes)
CD81	Complement + Complement PPI InWeb (545 genes)
CD97	Complement + Complement PPI InWeb (545 genes)
CHRM1	Complement + Complement PPI InWeb (545 genes)
CHRM2	Complement + Complement PPI InWeb (545 genes)
CHRM3	Complement + Complement PPI InWeb (545 genes)
CHRM4	Complement + Complement PPI InWeb (545 genes)
CHRM5	Complement + Complement PPI InWeb (545 genes)
CNIH1	Complement + Complement PPI InWeb (545 genes)
CNIH2	Complement + Complement PPI InWeb (545 genes)
CNIH3	Complement + Complement PPI InWeb (545 genes)
CNR1	Complement + Complement PPI InWeb (545 genes)
CNR2	Complement + Complement PPI InWeb (545 genes)
COG1	Complement + Complement PPI InWeb (545 genes)
COG2	Complement + Complement PPI InWeb (545 genes)
COG3	Complement + Complement PPI InWeb (545 genes)
COG4	Complement + Complement PPI InWeb (545 genes)
COG5	Complement + Complement PPI InWeb (545 genes)
COG6	Complement + Complement PPI InWeb (545 genes)
COG7	Complement + Complement PPI InWeb (545 genes)
COG8	Complement + Complement PPI InWeb (545 genes)
COL7A1	Complement + Complement PPI InWeb (545 genes)
COPA	Complement + Complement PPI InWeb (545 genes)
COPB1	Complement + Complement PPI InWeb (545 genes)
COPB2	Complement + Complement PPI InWeb (545 genes)
COPE	Complement + Complement PPI InWeb (545 genes)
COPG1	Complement + Complement PPI InWeb (545 genes)
COPG2	Complement + Complement PPI InWeb (545 genes)
COPZ1	Complement + Complement PPI InWeb (545 genes)
COPZ2	Complement + Complement PPI InWeb (545 genes)
CORT	Complement + Complement PPI InWeb (545 genes)
CRP	Complement + Complement PPI InWeb (545 genes)
CSNK1D	Complement + Complement PPI InWeb (545 genes)
CTSC	Complement + Complement PPI InWeb (545 genes)
CTSZ	Complement + Complement PPI InWeb (545 genes)
CXCL1	Complement + Complement PPI InWeb (545 genes)
CXCL10	Complement + Complement PPI InWeb (545 genes)
CXCL11	Complement + Complement PPI InWeb (545 genes)
CXCL12	Complement + Complement PPI InWeb (545 genes)
CXCL13	Complement + Complement PPI InWeb (545 genes)
CXCL16	Complement + Complement PPI InWeb (545 genes)
CXCL2	Complement + Complement PPI InWeb (545 genes)
CXCL3	Complement + Complement PPI InWeb (545 genes)
CXCL5	Complement + Complement PPI InWeb (545 genes)
CXCL6	Complement + Complement PPI InWeb (545 genes)
CXCL9	Complement + Complement PPI InWeb (545 genes)
CXCR1	Complement + Complement PPI InWeb (545 genes)
CXCR2	Complement + Complement PPI InWeb (545 genes)
CXCR3	Complement + Complement PPI InWeb (545 genes)
CXCR4	Complement + Complement PPI InWeb (545 genes)
CXCR5	Complement + Complement PPI InWeb (545 genes)
CXCR6	Complement + Complement PPI InWeb (545 genes)
CYSLTR1	Complement + Complement PPI InWeb (545 genes)
CYSLTR2	Complement + Complement PPI InWeb (545 genes)
CYTH1	Complement + Complement PPI InWeb (545 genes)
DCTN1	Complement + Complement PPI InWeb (545 genes)
DCTN2	Complement + Complement PPI InWeb (545 genes)
