"","gene","Seed","Gene","R","P","FDR"
"cor18759","RPL21P134","ENSG00000244731","ENSG00000233254",0.0384783624258533,0.645874559729277,0.829871501246267
"cor18760","AC019181.2","ENSG00000244731","ENSG00000233255",-0.0654090086727551,0.434420694909637,0.687292258932992
"cor18761","AC006042.8","ENSG00000244731","ENSG00000233264",0.145783424171571,0.0801820021875069,0.264939842385843
"cor18762","HMGB1P31","ENSG00000244731","ENSG00000233266",-0.0792672911316111,0.343264089033648,0.6074134200382
"cor18763","SNRPEP4","ENSG00000244731","ENSG00000233270",0.0260607082474342,0.755687146926654,0.891272066035452
"cor18764","AMMECR1LP1","ENSG00000244731","ENSG00000233273",-0.270471131731801,0.00100094155197205,0.015157619013236
"cor18765","GPX1","ENSG00000244731","ENSG00000233276",0.0232752051602979,0.781102580100434,0.904632560518134
"cor18766","CRYBG3","ENSG00000244731","ENSG00000233280",0.0954500194271746,0.253440657380512,0.514714124609521
"cor18767","AC009362.2","ENSG00000244731","ENSG00000233287",-0.0763077590159666,0.361639652562221,0.625018467453811
"cor18768","RP11-410N8.3","ENSG00000244731","ENSG00000233293",-0.123211678420064,0.139821613981378,0.369048876472713
"cor18769","FAM90A20P","ENSG00000244731","ENSG00000233295",0.0396485595396629,0.635866540776268,0.824594929407171
"cor18770","RASA4DP","ENSG00000244731","ENSG00000233297",0.032659425698293,0.69655737486203,0.859615502977924
"cor18771","RP13-614K11.1","ENSG00000244731","ENSG00000233304",-0.158736564222782,0.0565196787256622,0.212690501065184
"cor18772","H2BFXP","ENSG00000244731","ENSG00000233320",0.0418708979463692,0.617041321931924,0.813567783480325
"cor18773","RP11-482E14.1","ENSG00000244731","ENSG00000233321",-0.0685978421243943,0.412304812183441,0.668969367676682
"cor18774","MIPEPP3","ENSG00000244731","ENSG00000233325",0.0583197031216861,0.485942074049632,0.727067251114875
"cor18775","USP32P2","ENSG00000244731","ENSG00000233327",0.0631570119216969,0.450439385589499,0.700683488694776
"cor18776","RP1-12G14.7","ENSG00000244731","ENSG00000233330",-0.0262893236166963,0.753612377916078,0.890133606544567
"cor18777","RP4-799P18.2","ENSG00000244731","ENSG00000233332",-0.0994703941619814,0.233901012223185,0.492627616173089
"cor18778","RP11-464O2.2","ENSG00000244731","ENSG00000233334",-0.0275117475761733,0.742548610645743,0.884542148969443
"cor18779","UBE2FP3","ENSG00000244731","ENSG00000233337",-0.199838787176578,0.0159564096206868,0.0951551368726475
"cor18780","ATP6V1G1P4","ENSG00000244731","ENSG00000233343",0.097318148823011,0.244225698524639,0.504421280052411
"cor18781","ERP29P1","ENSG00000244731","ENSG00000233347",-0.103956393055351,0.213374176034754,0.467325978065357
"cor18782","CHRM3-AS2","ENSG00000244731","ENSG00000233355",-0.0577800573693075,0.489993497012356,0.729846019880151
"cor18783","AC006019.4","ENSG00000244731","ENSG00000233363",-0.033901913130978,0.685612611341729,0.853054850665972
"cor18784","RP11-277L2.3","ENSG00000244731","ENSG00000233368",-0.248233630041692,0.00260797093623524,0.0292505843823007
"cor18785","RP11-396K3.1","ENSG00000244731","ENSG00000233369",-0.0566527455824033,0.498514541061466,0.735332035418957
"cor18786","AC092664.1","ENSG00000244731","ENSG00000233370",-0.126825910686726,0.128482472743745,0.35150273352057
"cor18787","NKAPP1","ENSG00000244731","ENSG00000233382",0.122411729161379,0.142431347608631,0.372503861315562
"cor18788","RP11-100E13.1","ENSG00000244731","ENSG00000233384",-0.0286556221313302,0.732243166758573,0.879360515331072
"cor18789","AP000688.29","ENSG00000244731","ENSG00000233393",0.245149507177826,0.00295935564348365,0.0317017590836025
"cor18790","RP11-458D21.1","ENSG00000244731","ENSG00000233396",0.0902028823593649,0.280593615845821,0.544949126276105
"cor18791","PRKAR1AP","ENSG00000244731","ENSG00000233401",0.0189781052264541,0.820758792405915,0.923505784276852
"cor18792","FLJ20373","ENSG00000244731","ENSG00000233404",0.136825509686747,0.100783980481895,0.304704552837579
"cor18793","RP11-296A18.5","ENSG00000244731","ENSG00000233406",0.0125007676117178,0.881370443218928,0.950801775547876
"cor18794","AC012065.5","ENSG00000244731","ENSG00000233416",-0.0436088346152628,0.602490198381902,0.805368232593817
"cor18795","U1","ENSG00000244731","ENSG00000233421",-0.0350903013623661,0.675205075852977,0.847393242411805
"cor18796","EIF3FP3","ENSG00000244731","ENSG00000233426",-0.00133475754463783,0.987287439512918,0.995180784502867
"cor18797","RP1-212P9.3","ENSG00000244731","ENSG00000233427",-0.175330595191272,0.0349139590375822,0.157182948512602
"cor18798","BX649567.1","ENSG00000244731","ENSG00000233434",0.0760273307602566,0.363411900668972,0.626260702524105
"cor18799","AGGF1P2","ENSG00000244731","ENSG00000233435",0.0595499288383982,0.476773506956027,0.721323677157403
"cor18800","BTBD18","ENSG00000244731","ENSG00000233436",-0.120409864920806,0.149124205593561,0.38228837029724
"cor18801","AC109829.1","ENSG00000244731","ENSG00000233438",-0.0936369107614069,0.262610639985704,0.525262039033955
"cor18802","STXBP5-AS1","ENSG00000244731","ENSG00000233452",-0.258264793054905,0.00171041791299117,0.0218347257500914
"cor18803","RP11-295G20.2","ENSG00000244731","ENSG00000233461",0.125884489572724,0.131365570101406,0.356251704944616
"cor18804","ST6GALNAC4P1","ENSG00000244731","ENSG00000233469",0.158951658084721,0.0561815878354664,0.21180811481938
"cor18805","EEF1A1P6","ENSG00000244731","ENSG00000233476",0.175068060187257,0.0351916135760676,0.157991403642147
"cor18806","RP1-187B23.1","ENSG00000244731","ENSG00000233478",0.0943956242996664,0.258746154551846,0.521091060120276
"cor18807","CTD-2020K17.4","ENSG00000244731","ENSG00000233483",-0.0971731499677102,0.244932491433156,0.505435551176794
"cor18808","AC011322.1","ENSG00000244731","ENSG00000233487",-0.207522805363344,0.0122588035329358,0.0800705530303818
"cor18809","TMEM238","ENSG00000244731","ENSG00000233493",0.0347057572374482,0.678566191416325,0.849080736846508
"cor18810","SRGAP2-AS1","ENSG00000244731","ENSG00000233501",-0.0282542359856154,0.735854022362731,0.880855757055897
"cor18811","RP1-269M15.3","ENSG00000244731","ENSG00000233508",-0.21236530799242,0.0103353213869288,0.0714353911039695
"cor18812","ZNF197-AS1","ENSG00000244731","ENSG00000233509",0.0491814683109277,0.556899351317087,0.775950042212488
"cor18813","AC005162.5","ENSG00000244731","ENSG00000233517",-0.110539028475039,0.185634015160571,0.432871718696151
"cor18814","PHBP5","ENSG00000244731","ENSG00000233523",0.161328392763206,0.0525555014532456,0.203449308269143
"cor18815","RANP8","ENSG00000244731","ENSG00000233524",-0.102510969708023,0.219842563361457,0.475194752438628
"cor18816","AC092295.7","ENSG00000244731","ENSG00000233527",0.152376138045619,0.0672992337915652,0.23743929936604
"cor18817","LINC00460","ENSG00000244731","ENSG00000233532",-0.190428238320147,0.0217762227366506,0.115485671772517
"cor18818","DNM3-IT1","ENSG00000244731","ENSG00000233540",-0.06584788222698,0.431337296159914,0.684467401636549
"cor18819","RP11-547D24.1","ENSG00000244731","ENSG00000233542",-0.140644028466655,0.0915422395222325,0.287347421927417
"cor18820","RP11-57H14.2","ENSG00000244731","ENSG00000233547",0.0131146481234208,0.875590695693294,0.948173378883196
"cor18821","RP11-326F20.5","ENSG00000244731","ENSG00000233554",-0.0529257163413486,0.527231768333382,0.756037322171468
"cor18822","RP3-486I3.4","ENSG00000244731","ENSG00000233558",0.0604658691725623,0.470008581797056,0.716490339986126
"cor18823","AC016831.7","ENSG00000244731","ENSG00000233559",-0.0265897298100565,0.750888756641579,0.888423008340069
"cor18824","KRT8P39","ENSG00000244731","ENSG00000233560",0.16268606999056,0.050572512481327,0.198667266680951
"cor18825","RP5-1022P6.3","ENSG00000244731","ENSG00000233578",0.00755865596896154,0.928103025590329,0.971447668192216
"cor18826","KRT8P15","ENSG00000244731","ENSG00000233579",-0.0158247331537859,0.850157415332849,0.936448447488732
"cor18827","AC115617.2","ENSG00000244731","ENSG00000233585",-0.0643686473213619,0.44178008468272,0.693262498444773
"cor18828","CYP51P2","ENSG00000244731","ENSG00000233588",0.0462498886273346,0.58067574375645,0.791620961675349
"cor18829","RP4-665J23.1","ENSG00000244731","ENSG00000233593",-0.170559210957264,0.0402588613466118,0.17191454950473
"cor18830","MTND2P29","ENSG00000244731","ENSG00000233595",0.0534666416297998,0.523012669749824,0.753922178419013
"cor18831","RP11-343B5.1","ENSG00000244731","ENSG00000233597",0.0217279125588855,0.795322897260132,0.91173746554782
"cor18832","ERI3-IT1","ENSG00000244731","ENSG00000233602",-0.114838568779827,0.168999469941404,0.410365652747459
"cor18833","TWIST2","ENSG00000244731","ENSG00000233608",-0.0620442516851856,0.458475149951841,0.707716267285067
"cor18834","RP11-62H7.2","ENSG00000244731","ENSG00000233609",0.0519391577077248,0.534970702336435,0.761407856978259
"cor18835","DCUN1D2-AS","ENSG00000244731","ENSG00000233613",-0.0371130362435461,0.657631985232463,0.837275577325702
